Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
abasic.republican,available,54,1%,6,Science,,,
abient.republican,available,54,1%,6,Science,,,
abducens.republican,available,54,1%,8,Medicine,,,
abhorrent.republican,available,54,1%,9,Humanities,,,
adaxial.republican,available,54,2%,7,Science,,,
deuceace.republican,available,54,2%,9,Sports,,,
adducting.republican,available,54,1%,9,"Engineering,Mathematics,Science",,,
adjuratory.republican,available,54,0%,10,"Law,Politics,Religion",,,
admonitory.republican,available,54,0%,10,"Business,Education,Healthcare",,,
ternion.republican,available,54,3%,7,Mathematics,,,
unnatural.republican,available,54,4%,9,"Medicine,Science",,,
abatable.republican,available,54,1%,8,Law,,,
achy.republican,available,54,3%,4,Healthcare,,,
accursed.republican,available,54,3%,8,"Entertainment,Media,Religion",,,
abatic.republican,available,54,1%,6,Science,,,
adductive.republican,available,54,0%,9,"Engineering,Mathematics,Science",,,
sise.republican,available,54,5%,4,Mathematics,,,
fin.republican,available,54,30%,3,Finance,,,
acoustical.republican,available,54,4%,10,Science,,,
monitory.republican,available,54,3%,8,"Business,Education,Healthcare",,,
quaternity.republican,available,54,4%,10,Mathematics,,,
vii.republican,available,54,13%,3,Mathematics,,,
quaternion.republican,available,54,6%,10,Mathematics,,,
accentual.republican,available,54,3%,9,"Arts,Entertainment",,,
aboral.republican,available,54,2%,6,Science,,,
quadruplet.republican,available,54,1%,10,"Healthcare,Medicine,Science",,,
twoscore.republican,available,54,2%,8,Mathematics,,,
abaxial.republican,available,54,1%,7,Science,,,
threescore.republican,available,54,1%,10,Mathematics,,,
iii.republican,available,54,24%,3,Mathematics,,,
achromatic.republican,available,54,4%,10,Science,,,
quintuplet.republican,available,54,1%,10,"Healthcare,Medicine,Science",,,
actuated.republican,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
adducent.republican,available,54,1%,8,"Engineering,Mathematics,Science",,,
fortyfive.republican,available,54,4%,10,Mathematics,,,
deserted.republican,available,54,3%,8,"Hospitality,Real Estate",,,
quatern.republican,available,54,2%,7,Mathematics,,,
scratchy.republican,available,54,3%,8,Fashion,,,
adpressed.republican,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
septet.republican,available,53,1%,6,General,,,
sestet.republican,available,53,1%,6,Arts,,,
lxxvi.republican,available,52,1%,5,Mathematics,,,
lxxxiv.republican,available,52,1%,6,Mathematics,,,
lxxxvii.republican,available,52,1%,7,Mathematics,,,
ninetytwo.republican,available,52,4%,10,Mathematics,,,
xciv.republican,available,52,2%,4,Mathematics,,,
xcvi.republican,available,52,2%,4,Mathematics,,,
ablated.republican,available,52,1%,7,Science,,,
lxi.republican,available,52,5%,3,Mathematics,,,
lxxiii.republican,available,52,1%,6,Mathematics,,,
lxxxiii.republican,available,52,1%,7,Mathematics,,,
lxv.republican,available,52,5%,3,Mathematics,,,
xci.republican,available,52,4%,3,Mathematics,,,
lxxxi.republican,available,52,1%,5,Mathematics,,,
xciii.republican,available,52,1%,5,Mathematics,,,
littlejoe.republican,available,52,2%,10,"Entertainment,Media",,,
adenoidal.republican,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
abysmal.republican,available,52,4%,7,"Arts,Entertainment,Media",,,
detestable.republican,available,52,1%,10,Humanities,,,
lxxxv.republican,available,52,1%,5,Mathematics,,,
xcvii.republican,available,52,1%,5,Mathematics,,,
lxii.republican,available,52,1%,4,Mathematics,,,
odious.republican,available,52,2%,6,"Entertainment,Humanities",,,
abominable.republican,available,52,2%,10,"Entertainment,Humanities",,,
ixl.republican,available,52,9%,3,Mathematics,,,
uphill.republican,available,52,7%,6,"Sports,Transportation,Travel",,,
lxxxii.republican,available,52,1%,6,Mathematics,,,
xcviii.republican,available,52,1%,6,Mathematics,,,
ixc.republican,available,52,5%,3,Mathematics,,,
lxiv.republican,available,52,3%,4,Mathematics,,,
lxxvii.republican,available,52,2%,6,Mathematics,,,
eightyone.republican,available,52,3%,10,Mathematics,,,
lxxii.republican,available,52,1%,5,Mathematics,,,
tierce.republican,available,52,3%,6,General,,,
abstruse.republican,available,52,5%,8,"Humanities,Mathematics,Science",,,
sixtysix.republican,available,52,4%,9,Mathematics,,,
aboulic.republican,available,52,1%,7,Medicine,,,
lxviii.republican,available,52,1%,6,Mathematics,,,
repugnant.republican,available,52,1%,9,Humanities,,,
sixtytwo.republican,available,52,3%,9,Mathematics,,,
lxvi.republican,available,52,3%,4,Mathematics,,,
lxxv.republican,available,52,1%,4,Mathematics,,,
decumbent.republican,available,52,1%,9,"Healthcare,Medicine,Science",,,
repulsive.republican,available,52,1%,9,Humanities,,,
ninetyone.republican,available,52,5%,10,Mathematics,,,
xcv.republican,available,52,7%,3,Mathematics,,,
lxxxvi.republican,available,52,1%,6,Mathematics,,,
chagrined.republican,available,52,1%,9,Humanities,,,
eightytwo.republican,available,52,4%,10,Mathematics,,,
lxxi.republican,available,52,1%,4,Mathematics,,,
xcii.republican,available,52,2%,4,Mathematics,,,
sixtyfive.republican,available,52,3%,10,Mathematics,,,
abusive.republican,available,52,3%,7,"Healthcare,Law",,,
ninetysix.republican,available,52,4%,10,Mathematics,,,
lxvii.republican,available,52,1%,5,Mathematics,,,
lxiii.republican,available,52,2%,5,Mathematics,,,
sixtyfour.republican,available,52,3%,10,Mathematics,,,
lxxiv.republican,available,52,1%,5,Mathematics,,,
lxx.republican,available,50,5%,3,Mathematics,,,
broached.republican,available,50,0%,8,Food and Beverage,,,
adactylous.republican,available,50,0%,10,Science,,,
ogdoad.republican,available,50,1%,6,Mathematics,,,
abomasal.republican,available,50,0%,8,Agriculture,,,
acerbic.republican,available,50,2%,7,"Arts,Humanities,Media",,,
trine.republican,available,50,11%,5,"General,Religion",,,
abbatial.republican,available,50,0%,8,Religion,,,
needlelike.republican,available,50,0%,10,"Engineering,Medicine,Science",,,
acerb.republican,available,50,2%,5,Science,,,
gillless.republican,available,50,0%,9,Science,,,
abdicable.republican,available,50,0%,9,Law,,,
spinous.republican,available,50,1%,7,"Agriculture,Science",,,
acapnic.republican,available,50,0%,7,"Healthcare,Medicine,Science",,,
acquitted.republican,available,50,1%,9,Law,,,
aculeated.republican,available,50,0%,9,"Engineering,Medicine,Science",,,
scummy.republican,available,50,1%,6,Humanities,,,
aborticide.republican,available,50,0%,10,Medicine,,,
acaudal.republican,available,50,1%,7,"Agriculture,Science",,,
vinegary.republican,available,50,1%,8,Food and Beverage,,,
acetous.republican,available,50,1%,7,Science,,,
quint.republican,available,50,13%,5,"Arts,Entertainment",,,
acellular.republican,available,50,1%,9,Science,,,
abranchial.republican,available,50,0%,10,Science,,,
acetose.republican,available,50,1%,7,Science,,,
abactinal.republican,available,50,0%,9,Science,,,
acapnotic.republican,available,50,0%,9,"Healthcare,Medicine,Science",,,
acerose.republican,available,50,1%,7,Science,,,
triplet.republican,available,50,8%,7,Science,,,
abducting.republican,available,50,0%,9,Medicine,,,
adhominem.republican,available,50,2%,10,"Humanities,Law,Politics",,,
cinque.republican,available,50,7%,6,Mathematics,,,
abyssal.republican,available,48,12%,7,"Arts,Entertainment,Media",,,
ilxx.republican,available,48,1%,4,Mathematics,,,
notguilty.republican,available,48,5%,10,Law,,,
abstracted.republican,available,48,5%,10,"Arts,Humanities,Science",,,
lxxxviii.republican,available,48,1%,8,Mathematics,,,
ilxxx.republican,available,48,1%,5,Mathematics,,,
execrable.republican,available,48,0%,9,"Entertainment,Humanities",,,
apriori.republican,available,48,13%,8,Mathematics,,,
acheronian.republican,available,46,1%,10,Humanities,,,
vinegarish.republican,available,46,1%,10,Food and Beverage,,,
theabsurd.republican,available,46,1%,10,"Arts,Entertainment,Media",,,
acapnial.republican,available,46,0%,8,"Healthcare,Medicine,Science",,,
achromous.republican,available,46,1%,9,Science,,,
stripling.republican,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acanthous.republican,available,46,0%,9,"Agriculture,Science",,,
cotyloid.republican,available,46,1%,8,Science,,,
acarpous.republican,available,46,0%,8,"Agriculture,Science",,,
achromic.republican,available,46,2%,8,Science,,,
stemless.republican,available,46,2%,8,"Agriculture,Science",,,
achenial.republican,available,46,1%,8,Science,,,
quaternary.republican,available,46,3%,10,Mathematics,,,
acetylic.republican,available,46,1%,8,Science,,,
acetabular.republican,available,46,1%,10,Science,,,
acephalous.republican,available,46,1%,10,Science,,,
acaudate.republican,available,46,1%,8,"Agriculture,Science",,,
acarpelous.republican,available,46,0%,10,"Agriculture,Science",,,
acetonic.republican,available,46,1%,8,Science,,,
acanthotic.republican,available,46,0%,10,"Agriculture,Science",,,
acanthoid.republican,available,46,1%,9,"Agriculture,Science",,,
acicular.republican,available,46,2%,8,Science,,,
acetylenic.republican,available,46,1%,10,Science,,,
cotyloidal.republican,available,44,1%,10,Science,,,
acherontic.republican,available,44,1%,10,Humanities,,,
accusatory.republican,available,44,1%,10,Law,,,
abscessed.republican,available,41,0%,9,Healthcare,,,
phoebe.republican,available,41,14%,6,Science,,,
scurrilous.republican,available,40,1%,10,"Entertainment,Media,Politics",,,
accurst.republican,available,40,1%,7,Religion,,,
accusive.republican,available,40,1%,8,Law,,,
